Ref,Val,Package,PosX,PosY,Rot,Side
"C37","10u","C_0402_1005Metric",26.170005,18.369387,0.000000,top
"C38","100n","C_0402_1005Metric",26.365005,15.984387,0.000000,top
"C41","4.7u","C_0402_1005Metric",11.850000,-1.609996,180.000000,top
"C42","4.7u","C_0402_1005Metric",24.180005,0.599387,90.000000,top
"C43","100n","C_0402_1005Metric",11.850000,0.300000,180.000000,top
"C44","100n","C_0402_1005Metric",20.690005,-1.149996,0.000000,top
"C45","10n","C_0402_1005Metric",11.850000,-0.669996,180.000000,top
"C46","10n","C_0402_1005Metric",22.520005,-1.149996,180.000000,top
"C47","100n","C_0402_1005Metric",23.755005,7.900004,0.000000,top
"C48","100n","C_0402_1005Metric",23.630005,11.640004,180.000000,top
"C49","100n","C_0402_1005Metric",20.505003,6.599387,90.000000,top
"C50","100n","C_0402_1005Metric",21.800005,11.640004,180.000000,top
"C51","4.7u","C_0402_1005Metric",24.655005,5.025003,-90.000000,top
"C52","22u","C_0805_2012Metric",2.960005,9.979387,90.000000,top
"D1","LED_RGB_EP","LED-ARRAY-SMD_6P-L1.6-W1.6-TL",9.770000,-0.990000,180.000000,top
"D2","SMAJ30CA","D_SMA",29.972505,26.499387,180.000000,top
"D3","1N5819WL","D_SOD-123",13.237504,28.360004,0.000000,top
"D4","1N5819WL","D_SOD-123",8.490005,28.360004,180.000000,top
"J1","TF-028-H265","TF-SMD_TF-021B-H265",10.742505,19.400000,180.000000,top
"Q1","AO3400A","SOT-23",4.500000,4.012499,90.000000,top
"R3","10K","R_0402_1005Metric",4.600000,0.250000,180.000000,top
"R4","220R","R_0402_1005Metric",7.650000,-1.910002,180.000000,top
"R5","220R","R_0402_1005Metric",7.650000,-0.970001,180.000000,top
"R6","220R","R_0402_1005Metric",7.650000,-0.010000,180.000000,top
"R10","10K","R_0402_1005Metric",25.250005,25.965005,180.000000,top
"R11","1K","R_0402_1005Metric",23.365006,25.959387,180.000000,top
"R19","10K","R_0402_1005Metric",11.270005,23.780004,90.000000,top
"R20","10K","R_0402_1005Metric",11.250005,26.180004,-90.000000,top
"R21","10K","R_0402_1005Metric",19.300005,11.599387,0.000000,top
"R22","75R","R_0402_1005Metric",27.710005,18.974387,90.000000,top
"R23","75R","R_0402_1005Metric",27.990005,14.704387,90.000000,top
"R24","120R","R_0402_1005Metric",27.500006,8.269387,180.000000,top
"R25","4.7K","R_0402_1005Metric",19.800000,10.200000,-90.000000,top
"R26","4.7K","R_0402_1005Metric",18.850005,9.919387,-90.000000,top
"R27","10K","R_0402_1005Metric",16.780005,-0.625613,180.000000,top
"R28","10K","R_0402_1005Metric",22.235005,2.854387,180.000000,top
"R29","100K","R_0402_1005Metric",20.840005,10.255004,90.000000,top
"R30","4.7K","R_0402_1005Metric",2.825000,12.759999,90.000000,top
"R31","4.7K","R_0402_1005Metric",2.810005,14.649387,-90.000000,top
"SW2","RKCGG140SMTRLFS","SW-SMD_4P-L3.0-W2.6-P1.80-LS3.5",4.100000,-1.600000,180.000000,top
"U2","STM32H743VIHx","TFBGA-100_8x8mm_Layout10x10_P0.8mm",11.280005,8.499387,90.000000,top
"U6","AP7361C-33FGE-7","DFN-8_L3.0-W3.0-P0.65-BL-EP",8.742505,24.200006,-90.000000,top
"U7","AP7361C-33FGE-7","DFN-8_L3.0-W3.0-P0.65-BL-EP",13.580005,25.640004,90.000000,top
"U9","AT7456ELAH","LGA-16_L6.8-W4.0-P0.65-TL-2EP",23.060005,16.180004,0.000000,top
"U10","ZX-SH1.0-4PWT","CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT",31.100005,21.235004,90.000000,top
"U11","ZX-SH1.0-3PWT","CONN-SMD_3P-P1.00_MEGASTAR_ZX-SH1.0-3PWT",31.100006,15.040004,90.000000,top
"U13","ZX-SH1.0-4PWT","CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT",31.100005,6.790004,90.000000,top
"U14","ICM-42688-P","LGA-14_L3.0-W2.5-P0.50-TL",14.180005,-0.089996,-90.000000,top
"U15","ICM-42688-P","LGA-14_L3.0-W2.5-P0.50-TL",21.060005,0.850004,0.000000,top
"U16","DPS368XTSA1","LGA-8_L2.5-W2.0-P0.65-TR_DPS368",22.700005,9.990004,-90.000000,top
"U17","IST8310","LGA-16_L3.0-W3.0-P0.50-BL_SQ",22.530005,5.790004,-90.000000,top
"U18","ZX-SH1.0-4PWT","CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT",-0.625000,14.315000,-90.000000,top
"U20","ZX-SH1.0-6PWT","CONN-SMD_6P-P1.00_MEGASTAR_ZX-SH1.0-6PWT",-0.625000,6.540000,-90.000000,top
"U22","ZX-SH1.0-8PWT","CONN-SMD_8P-P1.00_MEGASTAR_ZX-SH1.0-8PWT",21.760005,31.110004,180.000000,top
"USB1","HC-TYPE-C-16P-01M","USB-C-SMD_HCTL_HC-TYPE-C-16P-01M",0.717505,23.090004,-90.000000,top
"Y1","8MHz","OSC-SMD_3P-L3.2-W1.3-P1.20-L",9.675000,2.700000,0.000000,top
"Y2","XL7EL89COI-111YLC-27M","Crystal_SMD_2016-4Pin_2.0x1.6mm",18.935345,17.078022,-90.000000,top
